
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
10078,I204645,  ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΤΟΥ ΚΟΧΛΙΑΚΟΥ ΕΜΦΥΤΕΥΜΑΤΟΣ ΜΕ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΑΣΘΕΝΗΣ 7 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΟΣ 
10079,I204647, ΕΠΑΝΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΤΟΥ ΚΟΧΛΙΑΚΟΥ ΕΜΦΥΤΕΥΜΑΤΟΣ ΜΕ ΕΠΑΝΑΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΑΣΘΕΝΗΣ 7 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΟΣ 
10080,I204649,ΕΚΤΙΜΗΣΗ ΓΙΑ ΕΦΑΡΜΟΓΗ ΣΥΣΚΕΥΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΑΦΩΝΙΑΣ ΕΝΑΛΛΑΚΤΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
10081,I204651,ΘΕΡΑΠΕΥΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΓΙΑ ΤΗ ΧΡΗΣΗ ΣΥΣΚΕΥΩΝ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΤΗΣ ΑΦΩΝΙΑΣ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ ΚΑΙ ΤΩΝ ΤΡΟΠΟΠΟΙΗΣΕΩΝ
10082,I204653, ΕΚΤΙΜΗΣΗ ΓΙΑ ΕΦΑΡΜΟΓΗ ΣΥΣΚΕΥΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΑΦΩΝΙΑΣ ΕΝΑΛΛΑΚΤΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΤΗΝ ΠΡΩΤΗ ΩΡΑ ΑΜΕΣΑ ΜΕ ΤΟΝ ΑΣΘΕΝΗ
10083,I204655, ΕΚΤΙΜΗΣΗ ΓΙΑ ΕΦΑΡΜΟΓΗ ΣΥΣΚΕΥΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΑΦΩΝΙΑΣ ΕΝΑΛΛΑΚΤΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΓΙΑ ΚΑΘΕ ΕΠΙΠΛΕΟΝ 30 ΛΕΠΤΑ ΜΕ ΤΟΝ ΑΣΘΕΝΗ (ΑΝΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΕΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΠΡΩΤΕΥΟΥΣΑΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10084,I204657, ΘΕΡΑΠΕΥΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΓΙΑ ΤΗ ΧΡΗΣΗ ΣΥΣΚΕΥΩΝ ΕΚΠΟΜΠΗΣ ΟΜΙΛΙΑΣ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ ΚΑΙ ΤΩΝ ΤΡΟΠΟΠΟΙΗΣΕΩΝ
10085,I204659, ΕΚΤΙΜΗΣΗ ΣΤΟΜΑΤΟΦΑΡΥΓΓΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΚΑΤΑΠΟΣΗΣ
10086,I204661, ΔΥΝΑΜΙΚΗ ΑΚΤΙΝΟΣΚΟΠΗΣΗ ΕΚΤΙΜΗΣΗΣ ΤΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΚΑΤΑΠΟΣΗΣ ΜΕ ΚΑΤΑΓΡΑΦΗ
10087,I204663, ΕΚΤΙΜΗΣΗ ΤΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΚΑΤΑΠΟΣΗΣ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΜΕ ΚΑΤΑΓΡΑΦΗ
10088,I204665,ΕΚΤΙΜΗΣΗ ΤΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΚΑΤΑΠΟΣΗΣ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΜΕ ΚΑΤΑΓΡΑΦΗ. ΕΡΜΗΝΙΑ ΚΑΙ ΕΚΘΕΣΗ ΙΑΤΡΟΥ
10089,I204667, ΕΚΤΙΜΗΣΗ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΑΙΣΘΗΤΙΚΟΤΗΤΑΣ ΛΑΡΥΓΓΑ ΜΕ ΚΑΤΑΓΡΑΦΗ
10090,I204669, ΕΚΤΙΜΗΣΗ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΑΙΣΘΗΤΙΚΟΤΗΤΑΣ ΛΑΡΥΓΓΑ ΜΕ ΚΑΤΑΓΡΑΦΗ ΕΡΜΗΝΙΑ ΚΑΙ ΕΚΘΕΣΗ ΙΑΤΡΟΥ
10091,I204671, ΕΚΤΙΜΗΣΗ ΤΗΣ ΚΑΤΑΠΟΣΗΣ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΚΑΙ ΤΗΣ ΑΙΣΘΗΤΙΚΟΤΗΤΑΣ ΛΑΡΥΓΓΑ ΜΕ ΚΑΤΑΓΡΑΦΗ
10092,I204673, ΕΚΤΙΜΗΣΗ ΜΕ ΕΥΚΑΜΠΤΟ ΕΝΔΟΣΚΟΠΙΟ ΟΠΤΙΚΩΝ ΙΝΩΝ ΤΗΣ ΚΑΤΑΠΟΣΗΣ ΚΑΙ ΤΗΣ ΑΙΣΘΗΤΙΚΟΤΗΤΑΣ ΛΑΡΥΓΓΑ ΜΕ ΚΑΤΑΓΡΑΦΗ. ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ ΤΟΥ ΙΑΤΡΟΥ
10093,I204679,ΕΚΤΙΜΗΣΗ ΤΗΣ ΚΕΝΤΡΙΚΗΣ ΑΚΟΥΣΤΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΜΕ ΕΚΘΕΣΗ· ΠΡΩΤΑ 60 ΛΕΠΤΑ
10094,I204681,ΕΚΤΙΜΗΣΗ ΤΗΣ ΚΕΝΤΡΙΚΗΣ ΑΚΟΥΣΤΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΜΕ ΕΚΘΕΣΗ· ΚΑΘΕ 15 ΕΠΙΠΛΕΟΝ ΛΕΠΤΑ
10095,I204689, ΜΕΛΕΤΗ ΕΜΒΟΩΝ (ΠΡΟΣΔΙΟΡΙΣΜΟ ΤΟΥ ΥΨΟΥΣ ΤΗΣ ΣΥΧΝΟΤΗΤΑΣ ΚΑΙ  ΕΠΙΚΑΛΥΨΗ)
10096,I204691, ΕΚΤΙΜΗΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΤΗΣ ΑΚΟΥΣΤΙΚΗΣ ΟΞΥΤΗΤΑΣ. ΠΡΩΤΗ ΩΡΑ
10097,I204693,ΕΚΤΙΜΗΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΤΗΣ ΑΚΟΥΣΤΙΚΗΣ ΟΞΥΤΗΤΑΣ. ΓΙΑ ΚΑΘΕ ΕΠΙΠΛΕΟΝ 15 ΛΕΠΤΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ 
10098,I204699,ΑΚΟΥΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΠΩΛΕΙΑΣ ΤΗΣ ΑΚΟΗΣ ΠΡΟ ΤΗΣ ΑΝΑΠΤΥΞΗΣ ΤΟΥ ΛΟΓΟΥ
10099,I204705, ΑΚΟΥΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΠΩΛΕΙΑΣ ΤΗΣ ΑΚΟΗΣ ΜΕΤΑ ΤΗΝ ΑΝΑΠΤΥΞΗ ΤΟΥ ΛΟΓΟΥ
10100,I204719, ΕΛΕΓΧΟΣ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΑΚΟΥΣΤΙΚΟΥ ΕΜΦΥΤΕΥΜΑΤΟΣ ΤΟΥ ΕΓΚΕΦΑΛΙΚΟΥ ΣΤΕΛΕΧΟΥΣ ΑΝΑ ΩΡΑ 
10101,I204839,ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΩΡΟΡΙΝΟΛΑΡΥΓΓΙΚΗ ΥΠΗΡΕΣΙΑ Ή ΔΙΑΔΙΚΑΣΙΑ
10102,I204839.1,ΣΙΑΛΕΝΔΟΣΚΟΠΗΣΗ ΜΕ ΧΡΗΣΗ ΣΥΡΜΑΤΙΝΟΥ ΚΛΩΒΟΥ ΓΙΑ ΑΦΑΙΡΕΣΗ ΛΙΘΟΥ
10103,I204839.2,ΣΙΑΛΕΝΔΟΣΚΟΠΗΣΗ ΜΕ ΤΟΠΟΘΕΤΗΣΗ ΕΝΔΟΑΥΛΙΚΟΥ ΚΑΘΕΤΗΡΑ (STENT)
10104,I204839.3,ΣΙΑΛΕΝΔΟΣΚΟΠΗΣΗ ΔΙΑΓΝΩΣΤΙΚΗ
10105,I204839.4,ΡΙΝΙΚΗ /ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΕΠΕΜΒΑΣΗ ΤΟΥ ΜΕΤΩΠΙΑΙΟΥ ΚΟΛΠΟΥ ΚΑΤΑ DRAF ǀǁIII 
10106,I204839.5,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΕΠΕΜΒΑΣΗ ΤΟΥ ΜΕΤΩΠΙΑΙΟΥ ΚΟΛΠΟΥ ΜΕ ΤΡΟΠΟΠΟΙΗΜΕΝΗ ΚΑΤΑ LOTHROP ΜΕΘΟΔΟ 
10107,I204839.6,ΡΙΝΙΚΗ /ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΕΠΕΜΒΑΣΗ ΣΤΗ ΒΑΣΗ ΤΟΥ ΚΡΑΝΙΟΥ 
10108,I204839.7,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΝΤΙΜΕΤΩΠΙΣΗ ΤΗΣ ΑΤΡΗΣΙΑΣ ΤΗΣ ΧΟΑΝΗΣ 
10109,I204839.8,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΚΑΛΟΗΘΩΝ ΟΓΚΩΝ ΡΙΝΟΣ-ΠΑΡΑΡΡΙΝΙΩΝ 
10110,I204839.9,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΚΑΚΟΗΘΩΝ ΟΓΚΩΝ ΡΙΝΟΣ-ΠΑΡΑΡΡΙΝΙΩΝ 
10111,I204839.10,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΗΣ ΥΠΟΦΥΣΕΩΣ-ΤΟΥΡΚΙΚΟΥ ΕΦΙΠΠΙΟΥ 
10112,I204839.11,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΟΥ ΠΤΕΡΥΓΟΫΠΕΡΩΙΟΥ ΒΟΘΡΟΥ 
10113,I204839.12,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΟΥ ΥΠΟΚΡΟΤΑΦΙΟΥ ΒΟΘΡΟΥ 
10114,I204839.13,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΙ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΗΣ ΕΥΣΤΑΧΙΑΝΗΣ ΣΑΛΠΙΓΓΟΣ 
10115,I204839.14,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΟΥ ΡΙΝΟΦΑΡΥΓΓΑ 
10116,I204839.15,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΟΥ ΠΡΟΣΘΙΟΥ ΚΡΑΝΙΑΚΟΥ ΒΟΘΡΟΥ 
10117,I204839.16,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ: ΑΦΑΙΡΕΣΗ ΟΓΚΩΝ ΤΟΥ ΟΠΙΣΘΙΟΥ ΚΡΑΝΙΑΚΟΥ ΒΟΘΡΟΥ 
10118,I204839.17,EMPLEY
10119,I204839.18,HALPIKE
10120,I204839.19,ΧΟΡΗΓΗΣΗ ΕΙΣΠΝΕΟΜΕΝΩΝ ΦΑΡΜΑΚΩΝ ΜΕ ΧΡΗΣΗ ΝΕΦΕΛΟΠΟΙΗΤΗ
10121,I204839.20,ΕΛΕΓΧΟΣ ΟΣΦΡΗΤΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ ΜΕ ΕΙΔΙΚΟ ΤΕΣΤ 
10122,I204839.21,ΡΙΝΙΚΗ/ΚΟΛΠΙΚΗ ΕΝΔΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ  ΛΗΨΗ ΒΙΟΨΙΩΝ
ΣΤ.7,ΠΡΑΞΕΙΣ ΔΙΑΓΝΩΣΤΙΚΕΣ – ΕΠΕΜΒΑΤΙΚΕΣ – ΘΕΡΑΠΕΥΤΙΚΕΣ ΚΑΡΔΙΑΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ,
10123,I205339,ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΑΝΑΝΗΨΗ
10124,I205345,ΠΡΟΣΩΡΙΝΗ ΔΙΑΔΕΡΜΙΚΗ ΒΗΜΑΤΟΔΟΤΗΣΗ
10125,I205359,ΗΛΕΚΤΡΙΚΗ ΑΝΑΤΑΞΗ/ ΚΑΡΔΙΟΜΕΤΑΤΡΟΠΗ ΑΡΡΥΘΜΙΑΣ/ΕΚΛΕΚΤΙΚΗ ΕΞΩΤΕΡΙΚΗ
10126,I205361,ΗΛΕΚΤΡΙΚΗ ΑΝΑΤΑΞΗ/ ΚΑΡΔΙΟΜΕΤΑΤΡΟΠΗ ΑΡΡΥΘΜΙΑΣ/ΕΚΛΕΚΤΙΚΗ ΕΣΩΤΕΡΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
10127,I205379,ΑΝΕΝΕΡΓΟΣ
10128,I205381,ΑΝΕΝΕΡΓΟΣ
10129,I205385,ΔΙΑΔΕΡΜΙΚΗ ΔΙΑΥΛΙΚΗ ΣΤΕΦΑΝΙΑΙΑ ΘΡΟΜΒΕΚΤΟΜΗ (ΚΑΤΑΓΡΑΦΕΤΑΙ ΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10130,I205387,ΔΙΑΚΑΘΕΤΗΡΙΑΚΗ ΤΟΠΟΘΕΤΗΣΗ ΣΥΣΚΕΥΗΣ ΕΚΠΟΜΠΗΣ ΑΚΤΙΝΟΒΟΛΙΑΣ ΓΙΑ ΕΠΑΚΟΛΟΥΘΗ ΣΤΕΦΑΝΙΑΙΑ ΕΝΔΑΓΓΕΙΑΚΗ ΒΡΑΧΥΘΕΡΑΠΕΙΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10131,I205389,ΘΡΟΜΒΟΛΥΣΗ ΣΤΕΦΑΝΙΑΙΑ· ΜΕ ΕΝΔΟΣΤΕΦΑΝΙΑΙΑ ΕΓΧΥΣΗ ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΣΤΕΦΑΝΙΑΙΑΣ ΑΓΓΕΙΟΓΡΑΦΙΑΣ
10132,I205393,ΘΡΟΜΒΟΛΥΣΗ ΣΤΕΦΑΝΙΑΙΑ ΜΕΣΩ ΕΝΔΟΦΛΕΒΙΑΣ ΕΓΧΥΣΗΣ
10133,I205395,ΕΝΔΑΓΓΕΙΑΚΗ ΥΠΕΡΗΧΟΓΡΑΦΙΑ (ΣΤΕΦΑΝΙΑΙΟ ΑΓΓΕΙΟ Ή ΜΟΣΧΕΥΜΑ ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10134,I205397,ΑΝΕΝΕΡΓΟΣ
10135,I205399,ΔΙΑΔΕΡΜΙΚΗ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ ΕΝΌΣ ΣΤΕΦΑΝΙΑΙΟΥ ΑΓΓΕΙΟΥ ΜΕ ΤΟΠΟΘΕΤΗΣΗ ΕΝΔΟΣΤΕΦΑΝΙΑΙΟΥ/-ΩΝ STENT(S)
10136,I205401,ΔΙΑΔΕΡΜΙΚΗ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ ΔΥΟ Η' ΤΡΙΩΝ ΣΤΕΦΑΝΙΑΙΩΝ ΑΓΓΕΙΩΝ ΜΕ ΤΟΠΟΘΕΤΗΣΗ ΕΝΔΟΣΤΕΦΑΝΙΑΙΩΝ STENT(S)(ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10137,I205403,ΔΙΑΔΕΡΜΙΚΗ ΣΥΜΒΑΤΙΚΗ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ ΜΕ ΣΤΕΦΑΝΙΑΙΟ ΑΕΡΟΘΑΛΑΜΟ ΕΝΟΣ ΑΓΓΕΙΟΥ
10138,I205407,ΔΙΑΔΕΡΜΙΚΗ ΣΥΜΒΑΤΙΚΗ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ ΜΕ ΣΤΕΦΑΝΙΑΙΟ ΑΕΡΟΘΑΛΑΜΟ ΔΥΟ Η' ΤΡΙΩΝ ΑΓΓΕΙΩΝ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10139,I205411,ΔΙΑΔΕΡΜΙΚΗ ΒΑΛΒΙΔΟΠΛΑΣΤΙΚΗ ΜΕ ΑΕΡΟΘΑΛΑΜΟ· ΑΟΡΤΙΚΗ ΒΑΛΒΙΔΑ
10140,I205413,ΔΙΑΔΕΡΜΙΚΗ ΒΑΛΒΙΔΟΠΛΑΣΤΙΚΗ ΜΕ ΑΕΡΟΘΑΛΑΜΟ· ΜΙΤΡΟΕΙΔΗΣ ΒΑΛΒΙΔΑ
10141,I205419,ΔΙΑΔΕΡΜΙΚΗ ΒΑΛΒΙΔΟΠΛΑΣΤΙΚΗ ΜΕ ΑΕΡΟΘΑΛΑΜΟ· ΠΝΕΥΜΟΝΙΚΗ ΒΑΛΒΙΔΑ
10142,I205423,ΔΙΑΔΕΡΜΙΚΗ ΔΙΑΝΟΙΞΗ ΜΕΣΟΚΟΛΠΙΚΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ ΔΙΑΦΛΕΒΙΚΗ ΜΕΘΟΔΟΣ ΑΕΡΟΘΑΛΑΜΟΣ (ΠΧ ΤΥΠΟΥ RASHKIND) (ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΡΔΙΑΚΟ ΚΑΘΕΤΗΡΙΑΣΜΟ)
10143,I205425,ΑΝΕΝΕΡΓΟΣ
10144,I205429,ΔΙΑΔΕΡΜΙΚΗ ΔΙΑΥΛΙΚΗ ΣΤΕΦΑΝΙΑΙΑ ΑΘΗΡΕΚΤΟΜΗ ΜΕ ΜΗΧΑΝΙΚΗ Ή ΑΛΛΗ ΜΕΘΟΔΟ ΜΕ Ή ΧΩΡΙΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ· ΕΝΑ ΑΓΓΕΙΟ
10145,I205431,ΔΙΑΔΕΡΜΙΚΗ ΔΙΑΥΛΙΚΗ ΣΤΕΦΑΝΙΑΙΑ ΑΘΗΡΕΚΤΟΜΗ ΜΕ ΜΗΧΑΝΙΚΗ Ή ΑΛΛΗ ΜΕΘΟΔΟ ΜΕ Ή ΧΩΡΙΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ· ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΑΓΓΕΙΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
10146,I205433,ΔΙΑΔΕΡΜΙΚΗ ΔΙΑΥΛΙΚΗ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΜΕ ΑΕΡΟΘΑΛΑΜΟ · ΈΝΑ ΑΓΓΕΙΟ
10147,I205435,ΑΝΕΝΕΡΓΟΣ
10148,I205439,ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΗΜΑ ΗΚΓ ΡΟΥΤΙΝΑΣ ΜΕ ΤΟΥΛΑΧΙΣΤΟΝ 12 ΑΠΑΓΩΓΕΣ · ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ
10149,I205449,ΑΝΕΝΕΡΓΟΣ
10150,I205459,ΑΝΕΝΕΡΓΟΣ
10151,I205463,ΤΗΛΕΦΩΝΙΚΗ ΜΕΤΑΔΟΣΗ ΤΜΗΜΑΤΩΝ ΜΕΤΑΣΥΜΠΤΩΜΑΤΙΚΟΥ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΟΥ ΡΥΘΜΟΥ  ΠΑΡΑΚΟΛΟΥΘΗΣΗ 24 ΩΡΩΝ ΓΙΑ ΧΡΟΝΙΚΟ ΔΙΑΣΤΗΜΑ 30 ΗΜΕΡΩΝ ΜΟΝΟ ΚΑΤΑΓΡΑΦΗ
10152,I205467,ΤΗΛΕΦΩΝΙΚΗ ΜΕΤΑΔΟΣΗ ΤΜΗΜΑΤΩΝ ΜΕΤΑΣΥΜΠΤΩΜΑΤΙΚΟΥ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΙΚΟΥ ΡΥΘΜΟΥ  ΠΑΡΑΚΟΛΟΥΘΗΣΗ 24 ΩΡΩΝ ΓΙΑ ΧΡΟΝΙΚΟ ΔΙΑΣΤΗΜΑ 30 ΗΜΕΡΩΝ ΙΑΤΡΙΚH ΕΚΤΙΜΗΣΗ ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ ΜΟΝΟ
10153,I205469,ΤΕΣΤ ΚΟΠΩΣΕΩΣ ΜΕ ΧΡΗΣΗ ΜΕΓΙΣΤΗΣ Ή ΥΠΟΜΕΓΙΣΤΗΣ ΑΣΚΗΣΗΣ ΣΕ ΚΥΛΙΟΜΕΝΟ ΤΑΠΗΤΑ Ή ΠΟΔΗΛΑΤΟ ΣΥΝΕΧΗΣ ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΜΕ ΗΛΕΚΤΡΟΚΑΡΔΙΟΓΡΑΦΗΜΑ Ή/ ΚΑΙ ΦΑΡΜΑΚΕΥΤΙΚΗ ΔΟΚΙΜΑΣΙΑ ΜΕ ΙΑΤΡΙΚΗ ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ
10154,I205471,ΑΝΕΝΕΡΓΟΣ
10155,I205473,ΑΝΕΝΕΡΓΟΣ
10156,I205475,ΑΝΕΝΕΡΓΟΣ
10157,I205487,ΦΑΡΜΑΚΕΥΤΙΚΗ ΔΟΚΙΜΑΣΙΑ ΠΡΟΚΛΗΣΗΣ ΑΓΓΕΙΟΣΠΑΣΜΟΥ
10158,I205489,ΑΞΙΟΛΟΓΗΣΗ ΚΟΙΛΙΑΚΩΝ ΑΡΡΥΘΜΙΩΝ ΜΕ ΧΡΗΣΗ ΚΥΜΑΤΩΝ-T
10159,I205519,ΗΚΓ ΡΥΘΜΟΥ ΜΕ 1-3 ΑΠΑΓΩΓΕΣ· ΜΕ ΕΡΜΗΝΕΙΑ ΚΑΙ ΕΚΘΕΣΗ
10160,I205521,ΑΝΕΝΕΡΓΟΣ
10161,I205523,ΑΝΕΝΕΡΓΟΣ
