MDC (01-25),ΚΩΔΙΚΟΣ ΚΕΝ (όλοι οι ΑλφΑβητικί ΧΑρΑκτήρες θΑ πρέπει νΑ είνΑι στΑ ΕΛΛΗΝΙΚΑ),ΚΩΔΙΚΟΣ ICD-10 (όλοι οι αλβαβητικοί χαρακτήρες θα πρέπει να είναι στα Αγγλικά)
15.0,Τ23Α,Q06
15.0,Τ23Α,Q06
15.0,Τ23Α,Q06.1
15.0,Τ23Α,Q06.1
15.0,Τ23Α,Q06.2
15.0,Τ23Α,Q06.2
15.0,Τ23Α,Q06.3
15.0,Τ23Α,Q06.3
15.0,Τ23Α,Q06.4
15.0,Τ23Α,Q06.4
15.0,Τ23Α,Q06.9
15.0,Τ23Α,Q06.9
15.0,Τ23Α,Q07
15.0,Τ23Α,Q07
15.0,Τ23Α,Q07.0
15.0,Τ23Α,Q07.0
15.0,Τ23Α,Q07.8
15.0,Τ23Α,Q07.8
15.0,Τ23Α,Q07.9
15.0,Τ23Α,Q07.9
15.0,Τ23Α,Q10
15.0,Τ23Α,Q10
15.0,Τ23Α,Q10.0
15.0,Τ23Α,Q10.0
15.0,Τ23Α,Q10.1
15.0,Τ23Α,Q10.1
15.0,Τ23Α,Q10.2
15.0,Τ23Α,Q10.2
15.0,Τ23Α,Q10.4
15.0,Τ23Α,Q10.4
15.0,Τ23Α,Q10.5
15.0,Τ23Α,Q10.5
15.0,Τ23Α,Q10.6
15.0,Τ23Α,Q10.6
15.0,Τ23Α,Q10.7
15.0,Τ23Α,Q10.7
15.0,Τ23Α,Q11
15.0,Τ23Α,Q11
15.0,Τ23Α,Q11.0
15.0,Τ23Α,Q11.0
15.0,Τ23Α,Q11.1
15.0,Τ23Α,Q11.1
15.0,Τ23Α,Q11.2
15.0,Τ23Α,Q11.2
15.0,Τ23Α,Q11.3
15.0,Τ23Α,Q11.3
15.0,Τ23Α,Q12
15.0,Τ23Α,Q12
15.0,Τ23Α,Q12.0
15.0,Τ23Α,Q12.0
15.0,Τ23Α,Q12.1
15.0,Τ23Α,Q12.1
15.0,Τ23Α,Q12.2
15.0,Τ23Α,Q12.2
15.0,Τ23Α,Q12.3
15.0,Τ23Α,Q12.3
15.0,Τ23Α,Q12.4
15.0,Τ23Α,Q12.4
15.0,Τ23Α,Q12.8
15.0,Τ23Α,Q12.8
15.0,Τ23Α,Q12.9
15.0,Τ23Α,Q12.9
15.0,Τ23Α,Q13
15.0,Τ23Α,Q13
15.0,Τ23Α,Q13.0
15.0,Τ23Α,Q13.0
15.0,Τ23Α,Q13.1
15.0,Τ23Α,Q13.1
15.0,Τ23Α,Q13.2
15.0,Τ23Α,Q13.2
15.0,Τ23Α,Q13.3
15.0,Τ23Α,Q13.3
15.0,Τ23Α,Q13.4
15.0,Τ23Α,Q13.4
15.0,Τ23Α,Q13.5
15.0,Τ23Α,Q13.5
15.0,Τ23Α,Q13.8
15.0,Τ23Α,Q13.8
15.0,Τ23Α,Q13.9
15.0,Τ23Α,Q13.9
15.0,Τ23Α,Q14.0
15.0,Τ23Α,Q14.0
15.0,Τ23Α,Q14.1
15.0,Τ23Α,Q14.1
15.0,Τ23Α,Q14.2
15.0,Τ23Α,Q14.2
15.0,Τ23Α,Q14.3
15.0,Τ23Α,Q14.3
15.0,Τ23Α,Q14.8
15.0,Τ23Α,Q14.8
15.0,Τ23Α,Q14.9
15.0,Τ23Α,Q14.9
15.0,Τ23Α,Q15
15.0,Τ23Α,Q15
15.0,Τ23Α,Q15.0
15.0,Τ23Α,Q15.0
15.0,Τ23Α,Q15.8
15.0,Τ23Α,Q15.8
15.0,Τ23Α,Q15.9
15.0,Τ23Α,Q15.9
15.0,Τ23Α,Q16
15.0,Τ23Α,Q16
15.0,Τ23Α,Q16.0
15.0,Τ23Α,Q16.0
15.0,Τ23Α,Q16.1
15.0,Τ23Α,Q16.1
15.0,Τ23Α,Q16.2
15.0,Τ23Α,Q16.2
15.0,Τ23Α,Q16.3
15.0,Τ23Α,Q16.3
15.0,Τ23Α,Q16.4
15.0,Τ23Α,Q16.4
15.0,Τ23Α,Q16.5
15.0,Τ23Α,Q16.5
15.0,Τ23Α,Q16.9
15.0,Τ23Α,Q16.9
15.0,Τ23Α,Q17
15.0,Τ23Α,Q17
15.0,Τ23Α,Q17.0
15.0,Τ23Α,Q17.0
15.0,Τ23Α,Q17.1
15.0,Τ23Α,Q17.1
15.0,Τ23Α,Q17.2
15.0,Τ23Α,Q17.2
15.0,Τ23Α,Q17.3
15.0,Τ23Α,Q17.3
15.0,Τ23Α,Q17.4
15.0,Τ23Α,Q17.4
15.0,Τ23Α,Q17.5
15.0,Τ23Α,Q17.5
15.0,Τ23Α,Q17.8
15.0,Τ23Α,Q17.8
15.0,Τ23Α,Q17.9
15.0,Τ23Α,Q17.9
15.0,Τ23Α,Q18
15.0,Τ23Α,Q18
15.0,Τ23Α,Q18.0
15.0,Τ23Α,Q18.0
15.0,Τ23Α,Q18.1
15.0,Τ23Α,Q18.1
15.0,Τ23Α,Q18.2
15.0,Τ23Α,Q18.2
15.0,Τ23Α,Q18.3
15.0,Τ23Α,Q18.3
15.0,Τ23Α,Q18.4
15.0,Τ23Α,Q18.4
15.0,Τ23Α,Q18.5
15.0,Τ23Α,Q18.5
15.0,Τ23Α,Q18.6
15.0,Τ23Α,Q18.6
15.0,Τ23Α,Q18.7
15.0,Τ23Α,Q18.7
15.0,Τ23Α,Q18.8
15.0,Τ23Α,Q18.8
15.0,Τ23Α,Q18.9
15.0,Τ23Α,Q18.9
15.0,Τ23Α,Q20
15.0,Τ23Α,Q20
15.0,Τ23Α,Q20.0
15.0,Τ23Α,Q20.0
15.0,Τ23Α,Q20.1
15.0,Τ23Α,Q20.1
15.0,Τ23Α,Q20.2
15.0,Τ23Α,Q20.2
15.0,Τ23Α,Q20.3
15.0,Τ23Α,Q20.3
15.0,Τ23Α,Q20.4
15.0,Τ23Α,Q20.4
15.0,Τ23Α,Q20.5
15.0,Τ23Α,Q20.5
15.0,Τ23Α,Q20.6
15.0,Τ23Α,Q20.6
15.0,Τ23Α,Q20.8
15.0,Τ23Α,Q20.8
15.0,Τ23Α,Q20.9
15.0,Τ23Α,Q20.9
15.0,Τ23Α,Q21
15.0,Τ23Α,Q21
15.0,Τ23Α,Q21.0
15.0,Τ23Α,Q21.0
15.0,Τ23Α,Q21.1
15.0,Τ23Α,Q21.1
15.0,Τ23Α,Q21.2
15.0,Τ23Α,Q21.2
15.0,Τ23Α,Q21.3
15.0,Τ23Α,Q21.3
15.0,Τ23Α,Q21.4
15.0,Τ23Α,Q21.4
15.0,Τ23Α,Q21.8
15.0,Τ23Α,Q21.8
15.0,Τ23Α,Q21.9
15.0,Τ23Α,Q21.9
15.0,Τ23Α,Q22
15.0,Τ23Α,Q22
15.0,Τ23Α,Q22.0
15.0,Τ23Α,Q22.0
15.0,Τ23Α,Q22.1
15.0,Τ23Α,Q22.1
15.0,Τ23Α,Q22.2
15.0,Τ23Α,Q22.2
15.0,Τ23Α,Q22.3
15.0,Τ23Α,Q22.3
15.0,Τ23Α,Q22.4
15.0,Τ23Α,Q22.4
15.0,Τ23Α,Q22.5
15.0,Τ23Α,Q22.5
15.0,Τ23Α,Q22.6
15.0,Τ23Α,Q22.6
15.0,Τ23Α,Q22.8
15.0,Τ23Α,Q22.8
15.0,Τ23Α,Q22.9
15.0,Τ23Α,Q22.9
15.0,Τ23Α,Q23
15.0,Τ23Α,Q23
15.0,Τ23Α,Q23.0
15.0,Τ23Α,Q23.0
15.0,Τ23Α,Q23.1
15.0,Τ23Α,Q23.1
15.0,Τ23Α,Q23.2
15.0,Τ23Α,Q23.2
15.0,Τ23Α,Q23.3
15.0,Τ23Α,Q23.3
15.0,Τ23Α,Q23.4
15.0,Τ23Α,Q23.4
15.0,Τ23Α,Q23.8
15.0,Τ23Α,Q23.8
15.0,Τ23Α,Q23.9
15.0,Τ23Α,Q23.9
15.0,Τ23Α,Q24
15.0,Τ23Α,Q24
15.0,Τ23Α,Q24.0
15.0,Τ23Α,Q24.0
15.0,Τ23Α,Q24.1
15.0,Τ23Α,Q24.1
15.0,Τ23Α,Q24.2
15.0,Τ23Α,Q24.2
15.0,Τ23Α,Q24.3
15.0,Τ23Α,Q24.3
15.0,Τ23Α,Q24.4
15.0,Τ23Α,Q24.4
15.0,Τ23Α,Q24.5
15.0,Τ23Α,Q24.5
15.0,Τ23Α,Q24.6
15.0,Τ23Α,Q24.6
15.0,Τ23Α,Q24.8
15.0,Τ23Α,Q24.8
15.0,Τ23Α,Q24.9
15.0,Τ23Α,Q24.9
15.0,Τ23Α,Q25
15.0,Τ23Α,Q25
15.0,Τ23Α,Q25.0
15.0,Τ23Α,Q25.0
15.0,Τ23Α,Q25.1
15.0,Τ23Α,Q25.1
15.0,Τ23Α,Q25.2
15.0,Τ23Α,Q25.2
15.0,Τ23Α,Q25.3
15.0,Τ23Α,Q25.3
15.0,Τ23Α,Q25.5
15.0,Τ23Α,Q25.5
15.0,Τ23Α,Q25.6
15.0,Τ23Α,Q25.6
15.0,Τ23Α,Q25.8
15.0,Τ23Α,Q25.8
15.0,Τ23Α,Q25.9
15.0,Τ23Α,Q25.9
15.0,Τ23Α,Q26
15.0,Τ23Α,Q26
15.0,Τ23Α,Q26.0
15.0,Τ23Α,Q26.0
15.0,Τ23Α,Q26.1
15.0,Τ23Α,Q26.1
15.0,Τ23Α,Q26.2
15.0,Τ23Α,Q26.2
15.0,Τ23Α,Q26.3
15.0,Τ23Α,Q26.3
15.0,Τ23Α,Q26.4
15.0,Τ23Α,Q26.4
15.0,Τ23Α,Q26.5
15.0,Τ23Α,Q26.5
15.0,Τ23Α,Q26.6
15.0,Τ23Α,Q26.6
15.0,Τ23Α,Q26.8
15.0,Τ23Α,Q26.8
15.0,Τ23Α,Q26.9
15.0,Τ23Α,Q26.9
15.0,Τ23Α,Q27
15.0,Τ23Α,Q27
15.0,Τ23Α,Q27.0
15.0,Τ23Α,Q27.0
15.0,Τ23Α,Q27.1
15.0,Τ23Α,Q27.1
15.0,Τ23Α,Q27.2
15.0,Τ23Α,Q27.2
15.0,Τ23Α,Q27.3
15.0,Τ23Α,Q27.3
15.0,Τ23Α,Q27.4
15.0,Τ23Α,Q27.4
15.0,Τ23Α,Q27.9
15.0,Τ23Α,Q27.9
15.0,Τ23Α,Q28
15.0,Τ23Α,Q28
15.0,Τ23Α,Q28.0
15.0,Τ23Α,Q28.0
15.0,Τ23Α,Q28.1
15.0,Τ23Α,Q28.1
15.0,Τ23Α,Q28.2
15.0,Τ23Α,Q28.2
15.0,Τ23Α,Q28.3
15.0,Τ23Α,Q28.3
15.0,Τ23Α,Q28.8
15.0,Τ23Α,Q28.8
15.0,Τ23Α,Q28.9
15.0,Τ23Α,Q28.9
15.0,Τ23Α,Q30
15.0,Τ23Α,Q30
15.0,Τ23Α,Q30.0
15.0,Τ23Α,Q30.0
15.0,Τ23Α,Q30.1
15.0,Τ23Α,Q30.1
15.0,Τ23Α,Q30.2
15.0,Τ23Α,Q30.2
15.0,Τ23Α,Q30.3
15.0,Τ23Α,Q30.3
15.0,Τ23Α,Q30.8
15.0,Τ23Α,Q30.8
15.0,Τ23Α,Q30.9
15.0,Τ23Α,Q30.9
15.0,Τ23Α,Q31
15.0,Τ23Α,Q31
15.0,Τ23Α,Q31.0
15.0,Τ23Α,Q31.0
15.0,Τ23Α,Q31.1
15.0,Τ23Α,Q31.1
15.0,Τ23Α,Q31.2
15.0,Τ23Α,Q31.2
15.0,Τ23Α,Q31.3
15.0,Τ23Α,Q31.3
15.0,Τ23Α,Q31.4
15.0,Τ23Α,Q31.4
15.0,Τ23Α,Q31.9
15.0,Τ23Α,Q31.9
15.0,Τ23Α,Q32
15.0,Τ23Α,Q32
15.0,Τ23Α,Q32.0
15.0,Τ23Α,Q32.0
15.0,Τ23Α,Q32.1
15.0,Τ23Α,Q32.1
15.0,Τ23Α,Q32.2
15.0,Τ23Α,Q32.2
15.0,Τ23Α,Q32.3
15.0,Τ23Α,Q32.3
15.0,Τ23Α,Q32.4
15.0,Τ23Α,Q32.4
15.0,Τ23Α,Q33
15.0,Τ23Α,Q33
15.0,Τ23Α,Q33.0
15.0,Τ23Α,Q33.0
15.0,Τ23Α,Q33.1
15.0,Τ23Α,Q33.1
15.0,Τ23Α,Q33.2
15.0,Τ23Α,Q33.2
15.0,Τ23Α,Q33.3
15.0,Τ23Α,Q33.3
15.0,Τ23Α,Q33.4
15.0,Τ23Α,Q33.4
15.0,Τ23Α,Q33.5
15.0,Τ23Α,Q33.5
15.0,Τ23Α,Q33.6
15.0,Τ23Α,Q33.6
15.0,Τ23Α,Q33.8
15.0,Τ23Α,Q33.8
15.0,Τ23Α,Q33.9
15.0,Τ23Α,Q33.9
15.0,Τ23Α,Q34
15.0,Τ23Α,Q34
15.0,Τ23Α,Q34.0
15.0,Τ23Α,Q34.0
15.0,Τ23Α,Q34.9
15.0,Τ23Α,Q34.9
15.0,Τ23Α,Q35
15.0,Τ23Α,Q35
15.0,Τ23Α,Q35.0
15.0,Τ23Α,Q35.0
15.0,Τ23Α,Q35.1
15.0,Τ23Α,Q35.1
15.0,Τ23Α,Q35.2
15.0,Τ23Α,Q35.2
15.0,Τ23Α,Q35.3
15.0,Τ23Α,Q35.3
15.0,Τ23Α,Q35.4
15.0,Τ23Α,Q35.4
15.0,Τ23Α,Q35.5
15.0,Τ23Α,Q35.5
15.0,Τ23Α,Q35.6
15.0,Τ23Α,Q35.6
15.0,Τ23Α,Q35.7
15.0,Τ23Α,Q35.7
15.0,Τ23Α,Q35.8
15.0,Τ23Α,Q35.8
15.0,Τ23Α,Q35.9
15.0,Τ23Α,Q35.9
15.0,Τ23Α,Q36
15.0,Τ23Α,Q36
15.0,Τ23Α,Q36.0
15.0,Τ23Α,Q36.0
15.0,Τ23Α,Q36.1
15.0,Τ23Α,Q36.1
15.0,Τ23Α,Q36.9
15.0,Τ23Α,Q36.9
15.0,Τ23Α,Q37
15.0,Τ23Α,Q37
15.0,Τ23Α,Q37.0
15.0,Τ23Α,Q37.0
15.0,Τ23Α,Q37.1
15.0,Τ23Α,Q37.1
15.0,Τ23Α,Q37.2
15.0,Τ23Α,Q37.2
15.0,Τ23Α,Q37.3
15.0,Τ23Α,Q37.3
15.0,Τ23Α,Q37.4
15.0,Τ23Α,Q37.4
15.0,Τ23Α,Q37.5
15.0,Τ23Α,Q37.5
15.0,Τ23Α,Q37.8
15.0,Τ23Α,Q37.8
15.0,Τ23Α,Q37.9
15.0,Τ23Α,Q37.9
15.0,Τ23Α,Q38
15.0,Τ23Α,Q38
15.0,Τ23Α,Q38.0
15.0,Τ23Α,Q38.0
15.0,Τ23Α,Q38.1
15.0,Τ23Α,Q38.1
15.0,Τ23Α,Q38.2
15.0,Τ23Α,Q38.2
15.0,Τ23Α,Q38.3
15.0,Τ23Α,Q38.3
15.0,Τ23Α,Q38.4
15.0,Τ23Α,Q38.4
15.0,Τ23Α,Q38.5
15.0,Τ23Α,Q38.5
15.0,Τ23Α,Q38.6
15.0,Τ23Α,Q38.6
15.0,Τ23Α,Q38.7
15.0,Τ23Α,Q38.7
15.0,Τ23Α,Q38.8
15.0,Τ23Α,Q38.8
15.0,Τ23Α,Q39
15.0,Τ23Α,Q39
15.0,Τ23Α,Q40
15.0,Τ23Α,Q40
15.0,Τ23Α,Q40.3
15.0,Τ23Α,Q40.3
15.0,Τ23Α,Q43.2
15.0,Τ23Α,Q43.2
15.0,Τ23Α,Q43.5
15.0,Τ23Α,Q43.5
15.0,Τ23Α,Q43.6
15.0,Τ23Α,Q43.6
15.0,Τ23Α,Q43.9
15.0,Τ23Α,Q43.9
15.0,Τ23Α,Q44
15.0,Τ23Α,Q44
15.0,Τ23Α,Q45.0
15.0,Τ23Α,Q45.0
15.0,Τ23Α,Q45.3
15.0,Τ23Α,Q45.3
15.0,Τ23Α,Q50
15.0,Τ23Α,Q50
15.0,Τ23Α,Q51
15.0,Τ23Α,Q51
15.0,Τ23Α,Q52
15.0,Τ23Α,Q52
15.0,Τ23Α,Q52.0
15.0,Τ23Α,Q52.0
15.0,Τ23Α,Q52.1
15.0,Τ23Α,Q52.1
15.0,Τ23Α,Q52.3
15.0,Τ23Α,Q52.3
15.0,Τ23Α,Q52.6
15.0,Τ23Α,Q52.6
15.0,Τ23Α,Q52.7
15.0,Τ23Α,Q52.7
15.0,Τ23Α,Q52.9
15.0,Τ23Α,Q52.9
15.0,Τ23Α,Q53
15.0,Τ23Α,Q53
15.0,Τ23Α,Q53.0
15.0,Τ23Α,Q53.0
15.0,Τ23Α,Q54
15.0,Τ23Α,Q54
15.0,Τ23Α,Q56
15.0,Τ23Α,Q56
15.0,Τ23Α,Q56.0
15.0,Τ23Α,Q56.0
15.0,Τ23Α,Q56.1
15.0,Τ23Α,Q56.1
15.0,Τ23Α,Q56.2
15.0,Τ23Α,Q56.2
15.0,Τ23Α,Q56.3
15.0,Τ23Α,Q56.3
15.0,Τ23Α,Q56.4
15.0,Τ23Α,Q56.4
15.0,Τ23Α,Q60
15.0,Τ23Α,Q60
15.0,Τ23Α,Q60.0
15.0,Τ23Α,Q60.0
15.0,Τ23Α,Q60.1
15.0,Τ23Α,Q60.1
15.0,Τ23Α,Q60.2
15.0,Τ23Α,Q60.2
15.0,Τ23Α,Q60.3
15.0,Τ23Α,Q60.3
15.0,Τ23Α,Q60.4
15.0,Τ23Α,Q60.4
15.0,Τ23Α,Q60.5
15.0,Τ23Α,Q60.5
15.0,Τ23Α,Q60.6
15.0,Τ23Α,Q60.6
15.0,Τ23Α,Q61
15.0,Τ23Α,Q61
15.0,Τ23Α,Q61.0
15.0,Τ23Α,Q61.0
15.0,Τ23Α,Q61.1
15.0,Τ23Α,Q61.1
15.0,Τ23Α,Q61.2
15.0,Τ23Α,Q61.2
15.0,Τ23Α,Q61.3
15.0,Τ23Α,Q61.3
15.0,Τ23Α,Q61.4
15.0,Τ23Α,Q61.4
15.0,Τ23Α,Q61.5
15.0,Τ23Α,Q61.5
15.0,Τ23Α,Q61.8
15.0,Τ23Α,Q61.8
15.0,Τ23Α,Q61.9
15.0,Τ23Α,Q61.9
15.0,Τ23Α,Q62
15.0,Τ23Α,Q62
15.0,Τ23Α,Q62.0
15.0,Τ23Α,Q62.0
15.0,Τ23Α,Q62.1
15.0,Τ23Α,Q62.1
15.0,Τ23Α,Q62.2
15.0,Τ23Α,Q62.2
15.0,Τ23Α,Q62.3
15.0,Τ23Α,Q62.3
15.0,Τ23Α,Q62.4
15.0,Τ23Α,Q62.4
15.0,Τ23Α,Q62.5
15.0,Τ23Α,Q62.5
15.0,Τ23Α,Q62.6
15.0,Τ23Α,Q62.6
15.0,Τ23Α,Q62.7
15.0,Τ23Α,Q62.7
15.0,Τ23Α,Q62.8
15.0,Τ23Α,Q62.8
15.0,Τ23Α,Q63
15.0,Τ23Α,Q63
15.0,Τ23Α,Q63.0
15.0,Τ23Α,Q63.0
15.0,Τ23Α,Q63.1
15.0,Τ23Α,Q63.1
15.0,Τ23Α,Q63.2
15.0,Τ23Α,Q63.2
15.0,Τ23Α,Q63.3
15.0,Τ23Α,Q63.3
15.0,Τ23Α,Q63.8
15.0,Τ23Α,Q63.8
15.0,Τ23Α,Q63.9
15.0,Τ23Α,Q63.9
15.0,Τ23Α,Q64
15.0,Τ23Α,Q64
15.0,Τ23Α,Q64.0
15.0,Τ23Α,Q64.0
15.0,Τ23Α,Q64.6
15.0,Τ23Α,Q64.6
15.0,Τ23Α,Q64.8
15.0,Τ23Α,Q64.8
15.0,Τ23Α,Q64.9
15.0,Τ23Α,Q64.9
15.0,Τ23Α,Q65
15.0,Τ23Α,Q65
15.0,Τ23Α,Q65.0
15.0,Τ23Α,Q65.0
15.0,Τ23Α,Q65.1
15.0,Τ23Α,Q65.1
15.0,Τ23Α,Q65.2
15.0,Τ23Α,Q65.2
15.0,Τ23Α,Q65.9
15.0,Τ23Α,Q65.9
15.0,Τ23Α,Q66
15.0,Τ23Α,Q66
15.0,Τ23Α,Q66.0
15.0,Τ23Α,Q66.0
15.0,Τ23Α,Q66.1
15.0,Τ23Α,Q66.1
15.0,Τ23Α,Q66.2
15.0,Τ23Α,Q66.2
15.0,Τ23Α,Q66.3
15.0,Τ23Α,Q66.3
15.0,Τ23Α,Q66.6
15.0,Τ23Α,Q66.6
15.0,Τ23Α,Q66.8
15.0,Τ23Α,Q66.8
15.0,Τ23Α,Q66.9
15.0,Τ23Α,Q66.9
15.0,Τ23Α,Q67
15.0,Τ23Α,Q67
15.0,Τ23Α,Q67.5
15.0,Τ23Α,Q67.5
15.0,Τ23Α,Q67.8
15.0,Τ23Α,Q67.8
15.0,Τ23Α,Q68
15.0,Τ23Α,Q68
15.0,Τ23Α,Q69
15.0,Τ23Α,Q69
15.0,Τ23Α,Q69.0
15.0,Τ23Α,Q69.0
15.0,Τ23Α,Q69.2
15.0,Τ23Α,Q69.2
15.0,Τ23Α,Q71
15.0,Τ23Α,Q71
15.0,Τ23Α,Q72
15.0,Τ23Α,Q72
15.0,Τ23Α,Q73.0
15.0,Τ23Α,Q73.0
15.0,Τ23Α,Q73.1
15.0,Τ23Α,Q73.1
15.0,Τ23Α,Q74.3
15.0,Τ23Α,Q74.3
15.0,Τ23Α,Q75.3
15.0,Τ23Α,Q75.3
15.0,Τ23Α,Q76.0
15.0,Τ23Α,Q76.0
15.0,Τ23Α,Q77.0
15.0,Τ23Α,Q77.0
15.0,Τ23Α,Q77.1
15.0,Τ23Α,Q77.1
15.0,Τ23Α,Q77.4
15.0,Τ23Α,Q77.4
15.0,Τ23Α,Q78.0
15.0,Τ23Α,Q78.0
15.0,Τ23Α,Q78.9
15.0,Τ23Α,Q78.9
15.0,Τ23Α,Q80
15.0,Τ23Α,Q80
15.0,Τ23Α,Q81
15.0,Τ23Α,Q81
15.0,Τ23Α,Q82.0
15.0,Τ23Α,Q82.0
15.0,Τ23Α,Q82.2
15.0,Τ23Α,Q82.2
15.0,Τ23Α,Q82.3
15.0,Τ23Α,Q82.3
15.0,Τ23Α,Q82.4
15.0,Τ23Α,Q82.4
15.0,Τ23Α,Q82.5
15.0,Τ23Α,Q82.5
15.0,Τ23Α,Q82.9
15.0,Τ23Α,Q82.9
15.0,Τ23Α,Q85.0
15.0,Τ23Α,Q85.0
15.0,Τ23Α,Q85.1
15.0,Τ23Α,Q85.1
15.0,Τ23Α,Q86.0
15.0,Τ23Α,Q86.0
15.0,Τ23Α,Q87.2
15.0,Τ23Α,Q87.2
15.0,Τ23Α,Q87.3
15.0,Τ23Α,Q87.3
15.0,Τ23Α,Q87.4
15.0,Τ23Α,Q87.4
15.0,Τ23Α,Q89.2
15.0,Τ23Α,Q89.2
15.0,Τ23Α,Q89.3
15.0,Τ23Α,Q89.3
15.0,Τ23Α,Q90
15.0,Τ23Α,Q90
15.0,Τ23Α,Q91
15.0,Τ23Α,Q91
15.0,Τ23Α,Q96
15.0,Τ23Α,Q96
15.0,Τ23Α,Q99.9
15.0,Τ23Α,Q99.9
15.0,Τ23Α,P05.1
15.0,Τ23Α,P05.1
15.0,Τ23Α,P05.9
15.0,Τ23Α,P05.9
15.0,Τ23Α,P07.3
15.0,Τ23Α,P07.3
15.0,Τ23Α,P10
15.0,Τ23Α,P10
15.0,Τ23Α,P10.0
15.0,Τ23Α,P10.0
15.0,Τ23Α,P10.1
15.0,Τ23Α,P10.1
15.0,Τ23Α,P10.2
15.0,Τ23Α,P10.2
15.0,Τ23Α,P10.4
15.0,Τ23Α,P10.4
15.0,Τ23Α,P10.8
15.0,Τ23Α,P10.8
15.0,Τ23Α,P10.9
15.0,Τ23Α,P10.9
15.0,Τ23Α,P11
15.0,Τ23Α,P11
15.0,Τ23Α,P11.0
15.0,Τ23Α,P11.0
15.0,Τ23Α,P11.1
15.0,Τ23Α,P11.1
15.0,Τ23Α,P11.2
15.0,Τ23Α,P11.2
15.0,Τ23Α,P11.3
15.0,Τ23Α,P11.3
15.0,Τ23Α,P11.4
15.0,Τ23Α,P11.4
15.0,Τ23Α,P11.5
15.0,Τ23Α,P11.5
15.0,Τ23Α,P11.9
15.0,Τ23Α,P11.9
15.0,Τ23Α,P12
15.0,Τ23Α,P12
15.0,Τ23Α,P12.0
15.0,Τ23Α,P12.0
15.0,Τ23Α,P12.1
15.0,Τ23Α,P12.1
15.0,Τ23Α,P12.2
15.0,Τ23Α,P12.2
15.0,Τ23Α,P12.3
15.0,Τ23Α,P12.3
15.0,Τ23Α,P12.4
15.0,Τ23Α,P12.4
15.0,Τ23Α,P12.8
15.0,Τ23Α,P12.8
15.0,Τ23Α,P12.9
15.0,Τ23Α,P12.9
15.0,Τ23Α,P13
15.0,Τ23Α,P13
15.0,Τ23Α,P13.0
15.0,Τ23Α,P13.0
15.0,Τ23Α,P13.1
15.0,Τ23Α,P13.1
15.0,Τ23Α,P13.2
15.0,Τ23Α,P13.2
15.0,Τ23Α,P13.3
15.0,Τ23Α,P13.3
15.0,Τ23Α,P13.4
15.0,Τ23Α,P13.4
15.0,Τ23Α,P13.8
15.0,Τ23Α,P13.8
15.0,Τ23Α,P13.9
15.0,Τ23Α,P13.9
15.0,Τ23Α,P14
15.0,Τ23Α,P14
15.0,Τ23Α,P14.0
15.0,Τ23Α,P14.0
15.0,Τ23Α,P14.1
15.0,Τ23Α,P14.1
15.0,Τ23Α,P14.2
15.0,Τ23Α,P14.2
15.0,Τ23Α,P14.3
15.0,Τ23Α,P14.3
15.0,Τ23Α,P14.8
15.0,Τ23Α,P14.8
15.0,Τ23Α,P14.9
15.0,Τ23Α,P14.9
15.0,Τ23Α,P15.2
15.0,Τ23Α,P15.2
15.0,Τ23Α,P15.3
15.0,Τ23Α,P15.3
15.0,Τ23Α,P15.4
15.0,Τ23Α,P15.4
15.0,Τ23Α,P15.6
15.0,Τ23Α,P15.6
15.0,Τ23Α,P15.8
15.0,Τ23Α,P15.8
15.0,Τ23Α,P15.9
15.0,Τ23Α,P15.9
15.0,Τ23Α,P20
15.0,Τ23Α,P20
15.0,Τ23Α,P21
15.0,Τ23Α,P21
15.0,Τ23Α,P21.9
15.0,Τ23Α,P21.9
15.0,Τ23Α,P22
15.0,Τ23Α,P22
15.0,Τ23Α,P22.0
15.0,Τ23Α,P22.0
15.0,Τ23Α,P22.1
15.0,Τ23Α,P22.1
15.0,Τ23Α,P22.8
15.0,Τ23Α,P22.8
15.0,Τ23Α,P22.9
15.0,Τ23Α,P22.9
15.0,Τ23Α,P23
15.0,Τ23Α,P23
15.0,Τ23Α,P23.0
15.0,Τ23Α,P23.0
15.0,Τ23Α,P23.1
15.0,Τ23Α,P23.1
15.0,Τ23Α,P23.2
15.0,Τ23Α,P23.2
15.0,Τ23Α,P23.3
15.0,Τ23Α,P23.3
15.0,Τ23Α,P23.4
15.0,Τ23Α,P23.4
15.0,Τ23Α,P23.5
15.0,Τ23Α,P23.5
15.0,Τ23Α,P23.6
15.0,Τ23Α,P23.6
15.0,Τ23Α,P23.8
15.0,Τ23Α,P23.8
15.0,Τ23Α,P24
15.0,Τ23Α,P24
15.0,Τ23Α,P24.0
15.0,Τ23Α,P24.0
15.0,Τ23Α,P24.1
15.0,Τ23Α,P24.1
15.0,Τ23Α,P24.2
15.0,Τ23Α,P24.2
15.0,Τ23Α,P24.3
15.0,Τ23Α,P24.3
15.0,Τ23Α,P24.8
15.0,Τ23Α,P24.8
15.0,Τ23Α,P24.9
15.0,Τ23Α,P24.9
15.0,Τ23Α,P25
15.0,Τ23Α,P25
15.0,Τ23Α,P25.0
15.0,Τ23Α,P25.0
15.0,Τ23Α,P25.1
15.0,Τ23Α,P25.1
15.0,Τ23Α,P25.2
15.0,Τ23Α,P25.2
15.0,Τ23Α,P25.3
